"","Year","Month","Text","Count"
"1",2020,2,"trump",305605
"2",2020,2,"mike pence",25703
"3",2020,2,"lewis",23978
"4",2020,2,"donald trump",16482
"5",2020,2,"anthony fauci",14583
"6",2020,7,"trump",123099
"7",2020,7,"bozo",36420
"8",2020,7,"covid",27607
"9",2020,7,"johnson",22498
"10",2020,7,"fauci",22022
"11",2020,12,"trump",68684
"12",2020,12,"ian mckellen",29759
"13",2020,12,"covid",22989
"14",2020,12,"david perdue",16910
"15",2020,12,"biden",15326
"16",2021,1,"biden",156012
"17",2021,1,"joe biden",51275
"18",2021,1,"trump",34878
"19",2021,1,"covid",27965
"20",2021,1,"fauci",22464
"21",2021,2,"biden",203746
"22",2021,2,"covid",75056
"23",2021,2,"trump",63612
"24",2021,2,"matt hancock",45816
"25",2021,2,"kamalaharris",41990
"26",2021,4,"covid",36414
"27",2021,4,"modi",21724
"28",2021,4,"biden",21391
"29",2021,4,"trump",15470
"30",2021,4,"ron johnson",13016
"31",2021,5,"covid",97470
"32",2021,5,"modi",63041
"33",2021,5,"biden",38989
"34",2021,5,"fauci",31496
"35",2021,5,"sant shri asharamji bapu",12028
"36",2021,6,"covid",42651
"37",2021,6,"biden",16714
"38",2021,6,"johnson",10934
"39",2021,6,"ron johnson",9968
"40",2021,6,"trump",9469
"41",2021,7,"covid",860269
"42",2021,7,"biden",477578
"43",2021,7,"fauci",248418
"44",2021,7,"boris johnson",76227
"45",2021,7,"trump",75056
"46",2021,8,"covid",879139
"47",2021,8,"biden",474394
"48",2021,8,"greg abbott",230135
"49",2021,8,"desantis",161102
"50",2021,8,"ron desantis",152959
"51",2021,9,"covid",158059
"52",2021,9,"biden",93775
"53",2021,9,"fauci",22390
"54",2021,9,"newsom",16969
"55",2021,9,"gavin newsom",12765
"56",2021,10,"covid",147770
"57",2021,10,"biden",79977
"58",2021,10,"trump",22061
"59",2021,10,"fauci",20513
"60",2021,10,"ron desantis",16892
"61",2021,12,"covid",172448
"62",2021,12,"biden",126064
"63",2021,12,"trump",45222
"64",2021,12,"boris johnson",24374
"65",2021,12,"joe biden",13839
"66",2022,1,"covid",2212648
"67",2022,1,"biden",1020616
"68",2022,1,"boris johnson",310160
"69",2022,1,"fauci",226767
"70",2022,1,"joe rogan",144861
"71",2022,2,"covid",967781
"72",2022,2,"biden",352336
"73",2022,2,"trudeau",177435
"74",2022,2,"putin",155118
"75",2022,2,"boris johnson",141233
"76",2022,3,"covid",965328
"77",2022,3,"biden",461298
"78",2022,3,"putin",196920
"79",2022,3,"ron desantis",49640
"80",2022,3,"joe biden",47827
"81",2022,4,"covid",846220
"82",2022,4,"biden",414483
"83",2022,4,"boris johnson",213878
"84",2022,4,"fauci",144793
"85",2022,4,"rishi sunak",60865
"86",2022,5,"covid",668620
"87",2022,5,"biden",268085
"88",2022,5,"bill gates",168964
"89",2022,5,"boris johnson",150890
"90",2022,5,"trump",58770
"91",2022,6,"covid",600881
"92",2022,6,"biden",251213
"93",2022,6,"fauci",141609
"94",2022,6,"trudeau",64905
"95",2022,6,"boris johnson",64408
"96",2022,7,"covid",226648
"97",2022,7,"biden",54249
"98",2022,7,"boris",22442
"99",2022,7,"fauci",20963
"100",2022,7,"jair bolsonaro",17885
"101",2022,8,"covid",172453
"102",2022,8,"biden",143442
"103",2022,8,"trump",82094
"104",2022,8,"rebekah jones",54222
"105",2022,8,"fauci",51662
"106",2022,9,"covid",440191
"107",2022,9,"biden",359194
"108",2022,9,"joe biden",81877
"109",2022,9,"trump",61057
"110",2022,9,"fauci",50861
"111",2022,10,"covid",443276
"112",2022,10,"biden",200943
"113",2022,10,"fauci",62803
"114",2022,10,"ron desantis",42291
"115",2022,10,"trump",41771
"116",2022,11,"covid",492146
"117",2022,11,"biden",210538
"118",2022,11,"trump",100102
"119",2022,11,"fauci",83647
"120",2022,11,"matt hancock",81703
"121",2022,12,"covid",353144
"122",2022,12,"fauci",215636
"123",2022,12,"biden",119934
"124",2022,12,"anthony fauci",44546
"125",2022,12,"trump",35150
